country_code,country_code_a3,country_name,country_label,food_imports_pct_merch_imports,cereal_import_dependency,source_food,source_cereal,source_year_food,source_year_cereal,is_estimate,confidence,notes,source_id_primary,source_id_secondary,cereal_dependency_low,cereal_dependency_base,cereal_dependency_high
DZ,DZA,Algeria,Algeria,18.5,50.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,medium,Algeria imports ~50% of cereals; northern Tell region produces wheat but total production insufficient; FRR depletion limits import capacity,WB_WDI_2022,FAO_FBS_2021,40.0,50.0,60.0
BH,BHR,Bahrain,Bahrain,17.2,97.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,Near-total cereal import dependence; essentially no arable land; food security bolstered by GCC coordination and strategic reserves,WB_WDI_2022,FAO_FBS_2021,92.0,97.0,100.0
EG,EGY,"Egypt, Arab Rep.",Egypt,21.3,60.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,World's largest wheat importer by volume; Nile Delta agriculture covers ~40% of cereal needs; IMF programme adds fiscal pressure on food subsidies,WB_WDI_2022,FAO_FBS_2021,55.0,60.0,65.0
IR,IRN,"Iran, Islamic Rep.",Iran,16.8,35.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,low,Significant domestic wheat production (top-10 global producer); cereal dependency lower than regional peers; sanctions distort trade data and actual import volumes,WB_WDI_2022,FAO_FBS_2021,15.0,35.0,55.0
IQ,IRQ,Iraq,Iraq,24.1,70.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,medium,High food import share; Tigris-Euphrates agricultural base degraded by conflict and water scarcity; subsidy system under fiscal pressure,WB_WDI_2022,FAO_FBS_2021,60.0,70.0,80.0
JO,JOR,Jordan,Jordan,23.4,91.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,Net importer; very limited arable land; highly dependent on food imports with no oil revenue offset; food security a primary vulnerability,WB_WDI_2022,FAO_FBS_2021,86.0,91.0,96.0
KW,KWT,Kuwait,Kuwait,20.1,97.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,Near-total cereal import dependence; desert geography; financial buffers cushion import cost shocks,WB_WDI_2022,FAO_FBS_2021,92.0,97.0,100.0
LB,LBN,Lebanon,Lebanon,25.7,88.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,low,Highest food import share in sample; economic crisis and currency collapse have severely impaired food access; Bekaa Valley agriculture insufficient; WB data quality poor post-2019,WB_WDI_2022,FAO_FBS_2021,68.0,88.0,100.0
LY,LBY,Libya,Libya,22.8,75.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,low,High cereal import dependency; conflict-affected supply chains; dual-government structure complicates official trade statistics,WB_WDI_2022,FAO_FBS_2021,55.0,75.0,95.0
MA,MAR,Morocco,Morocco,14.9,41.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,Lowest food import share; Sebou and Oum Er-Rbia river basins support domestic wheat and barley; phosphate economy provides import financing capacity,WB_WDI_2022,FAO_FBS_2021,36.0,41.0,46.0
OM,OMN,Oman,Oman,16.5,82.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,Desert geography; local dates and some vegetables but cereals almost entirely imported; fiscal consolidation since 2020 constrains import subsidies,WB_WDI_2022,FAO_FBS_2021,77.0,82.0,87.0
QA,QAT,Qatar,Qatar,13.2,97.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,Near-total cereal import dependence; total merchandise imports dominated by capital equipment so food share is lower; post-2017 blockade drove food security investment (Baladna dairy project),WB_WDI_2022,FAO_FBS_2021,92.0,97.0,100.0
SA,SAU,Saudi Arabia,Saudi Arabia,16.4,88.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,Saudi Arabia abandoned domestic wheat self-sufficiency programme in 2016; now imports ~88% of cereals; Vision 2030 includes food security investment,WB_WDI_2022,FAO_FBS_2021,83.0,88.0,93.0
AE,ARE,United Arab Emirates,UAE,12.8,95.0,World Bank WDI TM.VAL.FOOD.ZS.UN,FAO FAOSTAT Food Balance Sheets,2022,2021,True,high,Lowest food imports pct due to very large total merchandise import base (re-export hub); near-total cereal import dependence; Abu Dhabi sovereign wealth funds strategic food investments,WB_WDI_2022,FAO_FBS_2021,90.0,95.0,100.0
