country_code,country_code_a3,country_name,country_label,swf_assets_usd_bn,fx_reserves_usd_bn,liquid_buffer_usd_bn,estimated_monthly_burn_usd_bn,burn_rate_method,source_swf,source_fx,source_burn,source_year,is_estimate,confidence,notes,source_id_primary,source_id_secondary,liquid_buffer_low_usd_bn,liquid_buffer_base_usd_bn,liquid_buffer_high_usd_bn,monthly_burn_low_usd_bn,monthly_burn_base_usd_bn,monthly_burn_high_usd_bn
SA,SAU,Saudi Arabia,Saudi Arabia,700.0,425.0,430.0,3.0,SAMA foreign assets treated as primary liquid buffer; PIF ($700bn) excluded as long-term equity fund not readily deployable for deficit financing; burn estimated from IMF Article IV fiscal deficit at below-breakeven scenario annualised and divided by 12,PIF Annual Report 2023,SAMA Monthly Statistical Bulletin 2023,IMF Article IV Consultation SAU 2023,2023,True,medium,Liquid buffer = SAMA assets (~$425bn); PIF AUM ~$700bn but illiquid equity; burn reflects partial fiscal adjustment,SAMA_STAT_2023,IMF_AIV_2023,322.5,430.0,537.5,2.1,3.0,3.9
IQ,IRQ,Iraq,Iraq,0.0,100.0,100.0,2.5,CBI FX reserves only; Iraq has no significant SWF; burn estimated from IMF Article IV fiscal deficit at below-breakeven oil price scenario; Iraq's spending is largely non-discretionary (wages/pensions ~75% of budget),,IMF WEO 2023; Central Bank of Iraq,IMF Article IV Consultation IRQ 2023,2023,True,low,No SWF; FX reserves highly sensitive to oil price; high non-discretionary spending limits burn-rate flexibility,IMF_AIV_2023,IMF_WEO_2023,60.0,100.0,140.0,1.2,2.5,3.8
KW,KWT,Kuwait,Kuwait,760.0,48.0,60.0,0.8,KGF (General Reserve Fund) accessible for deficit financing; RFFG (~85% of KIA AUM) constitutionally protected — excluded from liquid buffer; burn from IMF Article IV estimates at below-breakeven scenario,KIA Annual Report (estimated); Kuwait Ministry of Finance,CBK Statistical Bulletin 2023,IMF Article IV Consultation KWT 2023,2023,True,medium,RFFG (~$648bn of KIA) legally ring-fenced; accessible GRF ~$60bn; very low burn relative to buffer,CBK_STAT_2023,IMF_AIV_2023,45.0,60.0,75.0,0.6,0.8,1.0
LY,LBY,Libya,Libya,67.0,80.0,50.0,0.5,LIA assets partially frozen or illiquid; CBL data fragmented by dual-authority structure; liquid buffer conservative estimate; burn from IMF REO lower bound; revenues and spending split between eastern and western governments,LIA (estimated; pre-conflict valuation),IMF REO MENA 2023 (estimate; dual-CBL complicates data),IMF REO MENA 2023,2023,True,low,Highly uncertain; political fragmentation; asset freeze; dual-government spending makes burn estimate very approximate,IMF_REO_FRAG_2023,,30.0,50.0,70.0,0.2,0.5,0.8
DZ,DZA,Algeria,Algeria,7.0,50.0,50.0,2.0,FRR (Fund for Revenue Regulation) essentially depleted by 2017; Banque d'Algerie FX reserves are primary buffer; burn from IMF Article IV at below-breakeven scenario reflecting large subsidy and wage bill,Algeria Finance Ministry 2023,IMF WEO 2023; Banque d'Algerie Annual Report 2023,IMF Article IV Consultation DZA 2023,2023,True,medium,FRR nearly exhausted; FX reserves declining trend; 25-month runway is a warning signal at current burn rate,IMF_AIV_2023,IMF_AIV_2023,37.5,50.0,62.5,1.4,2.0,2.6
AE,ARE,United Arab Emirates,UAE,1600.0,180.0,200.0,1.5,CBUAE FX reserves plus accessible ADAA government deposits; combined SWF (ADIA ~$790bn + Mubadala ~$280bn + ADQ ~$110bn) largely long-term illiquid equity; burn from IMF Article IV UAE estimates; Abu Dhabi production base limits fiscal stress,ADIA 2023; Mubadala Annual Report 2023; ADQ 2023 (all estimated),CBUAE Annual Statistical Report 2023,IMF Article IV Consultation ARE 2023,2023,True,low,Total AUM very large but mostly illiquid; accessible buffer much smaller; diversified economy limits fiscal oil dependency,CBUAE_STAT_2023,IMF_AIV_2023,120.0,200.0,280.0,0.8,1.5,2.2
QA,QAT,Qatar,Qatar,475.0,50.0,60.0,0.7,QCB reserves plus estimated accessible QIA allocation for budget support; majority of QIA in long-term global equity; burn from IMF Article IV at below-breakeven LNG-linked scenario,QIA Annual Review 2023 (estimated total AUM),QCB Statistical Bulletin 2023,IMF Article IV Consultation QAT 2023,2023,True,medium,QIA AUM ~$475bn but illiquid; accessible portion small; LNG-linked revenues provide some buffer vs Brent correlation,QCB_STAT_2023,IMF_AIV_2023,45.0,60.0,75.0,0.5,0.7,0.9
OM,OMN,Oman,Oman,20.0,17.0,27.0,0.9,OIA (SGRF ~$16bn + OIF ~$4bn) plus CBO FX reserves treated as combined accessible buffer; burn from IMF Article IV at below-breakeven scenario; fiscal consolidation since 2020 has reduced structural burn rate,OIA Annual Report 2023 (SGRF + OIF),CBO Quarterly Statistical Bulletin 2023,IMF Article IV Consultation OMN 2023,2023,True,medium,Post-2020 fiscal reforms reduced structural deficit; 30-month runway adequate for medium-term adjustment,CBO_STAT_2023,IMF_AIV_2023,20.2,27.0,33.8,0.6,0.9,1.2
IR,IRN,Iran,Iran,10.0,20.0,10.0,1.5,NDFI (National Development Fund) severely constrained by US sanctions; CBI FX reserves partially frozen or inaccessible; liquid buffer represents lower bound of accessible assets; burn highly uncertain,NDFI (estimated; sanctions-constrained),IMF REO MENA 2023 (estimate; very low confidence — CBI data withheld under sanctions),IMF REO MENA 2023,2023,True,low,Extremely uncertain; frozen assets not included; parallel exchange rate distorts USD conversion; sanctions regime makes burn estimate unreliable,IMF_REO_FRAG_2023,,6.0,10.0,14.0,0.8,1.5,2.2
BH,BHR,Bahrain,Bahrain,18.0,5.0,5.0,0.4,CBB FX reserves as primary liquid buffer; Mumtalakat holdings (~$18bn) are long-term equity investments excluded from runway; GCC Development Fund grants/loans not counted as buffer; burn from IMF Article IV at below-breakeven scenario,Mumtalakat Annual Report 2023,CBB Monthly Statistical Bulletin 2023,IMF Article IV Consultation BHR 2023,2023,True,medium,Highest per-barrel breakeven in GCC; thin CBB buffer; GCC Development Fund support is off-balance-sheet and not guaranteed,CBB_STAT_2023,IMF_AIV_2023,3.8,5.0,6.2,0.3,0.4,0.5
