source_id,source_name,organization,publication_year,retrieval_date,url,used_for,confidence_tier,notes
IMF_AIV_2023,IMF Article IV Consultation Staff Reports,International Monetary Fund,2023,2024-01-15,https://www.imf.org/en/Publications/CR,fiscal_breakeven; reserve_runway,high,Country-specific consultations for SAU IRQ KWT ARE QAT OMN BHR EGY DZA (2022-2023 vintage)
IMF_REO_MENA_2023,IMF Regional Economic Outlook: Middle East and Central Asia,International Monetary Fund,2023,2024-01-15,https://www.imf.org/en/Publications/REO,fiscal_breakeven; reserve_runway,high,October 2023 edition; used for LBY and IRN where Article IV unavailable or heavily caveated
IMF_WEO_2023,IMF World Economic Outlook,International Monetary Fund,2023,2024-01-15,https://www.imf.org/en/Publications/WEO,reserve_runway (secondary for IRQ),high,October 2023 edition
WB_WDI_2022,World Bank WDI - Food imports % merchandise imports (TM.VAL.FOOD.ZS.UN),World Bank,2022,2024-01-15,https://data.worldbank.org/indicator/TM.VAL.FOOD.ZS.UN,food_security_exposure,high,Most recent available year at extraction date
FAO_FBS_2021,FAO Food Balance Sheets - Cereal Import Dependency Ratio,Food and Agriculture Organization of the United Nations,2021,2024-01-15,https://www.fao.org/faostat,food_security_exposure,high,Most recent complete year in FAOSTAT at extraction date
SAMA_STAT_2023,SAMA Monthly Statistical Bulletin,Saudi Arabian Monetary Authority,2023,2024-01-15,https://www.sama.gov.sa/en-US/EconomicReports,reserve_runway (SAU primary),high,Foreign assets and SAMA reserves; end-2023 estimate
CBK_STAT_2023,Central Bank of Kuwait Statistical Bulletin,Central Bank of Kuwait,2023,2024-01-15,https://www.cbk.gov.kw/en/statistics,reserve_runway (KWT primary),high,
CBUAE_STAT_2023,Central Bank of UAE Annual Statistical Report,Central Bank of the UAE,2023,2024-01-15,https://www.centralbank.ae/en/statistics,reserve_runway (ARE primary),medium,Abu Dhabi vs UAE-wide aggregation introduces uncertainty
QCB_STAT_2023,Qatar Central Bank Statistical Bulletin,Qatar Central Bank,2023,2024-01-15,https://www.qcb.gov.qa/en/statistics,reserve_runway (QAT primary),high,
CBO_STAT_2023,Central Bank of Oman Quarterly Statistical Bulletin,Central Bank of Oman,2023,2024-01-15,https://www.cbo.gov.om/en/statistics,reserve_runway (OMN primary),high,
CBB_STAT_2023,Central Bank of Bahrain Monthly Statistical Bulletin,Central Bank of Bahrain,2023,2024-01-15,https://www.cbb.gov.bh/statistics,reserve_runway (BHR primary),high,
CBE_STAT_2023,Central Bank of Egypt Monthly Bulletin,Central Bank of Egypt,2023,2024-01-15,https://www.cbe.org.eg/en/economic-research/statistics,reserve_runway (EGY primary),medium,Mixed exporter/importer dynamics reduce confidence
CBJ_STAT_2023,Central Bank of Jordan Statistical Database,Central Bank of Jordan,2023,2024-01-15,https://www.cbj.gov.jo/en/statistics,reserve_runway (JOR reference only),high,FX reserves shown for reference; reserve runway concept not applicable
BAM_STAT_2023,Bank Al-Maghrib Annual Report,Bank Al-Maghrib,2023,2024-01-15,https://www.bkam.ma/en/statistics,reserve_runway (MAR reference only),high,FX reserves shown for reference; reserve runway concept not applicable
IMF_REO_FRAG_2023,IMF REO MENA 2023 - Crisis and sanctions-affected state supplementary estimates,International Monetary Fund,2023,2024-01-15,https://www.imf.org/en/Publications/REO,reserve_runway (LBY; LBN; IRN),low,Very low confidence; dual-government (LBY); financial crisis (LBN); sanctions regime (IRN)
IMF_WEO_APR2021,IMF World Economic Outlook April 2021,International Monetary Fund,2021,2024-02-01,https://www.imf.org/en/Publications/WEO,retrospective_2020 outcomes (GDP growth; fiscal balance),high,Primary source for 2020 actuals across all 14 countries; IMF emergency financing flags from IMF press releases
WB_GEP_2021,World Bank Global Economic Prospects January 2021,World Bank,2021,2024-02-01,https://www.worldbank.org/en/publication/global-economic-prospects,retrospective_2020 outcomes (secondary GDP cross-check),high,Secondary verification of 2020 GDP outturns; broadly consistent with IMF WEO April 2021
IMF_FM_OCT2023,IMF Fiscal Monitor October 2023,International Monetary Fund,2023,2024-02-01,https://www.imf.org/en/Publications/FM,cross_validation benchmark tiers (IMF fiscal risk classification),high,Table A8 MENA region fiscal risk tiers; Low/Medium/High classification
WB_MPO_2023,World Bank Macro Poverty Outlook Fall 2023,World Bank,2023,2024-02-01,https://www.worldbank.org/en/publication/macro-poverty-outlook,cross_validation benchmark tiers (WB macro stability status),high,Country notes annex; Stable/Watch/Stressed classification for MENA economies
FX_REGIME_2023,IMF International Financial Statistics — Exchange Rate Regimes and FX Volatility,International Monetary Fund,2023,2024-01-15,https://www.imf.org/external/datamapper/datasets/IFS,fx_channel_weight; fx_regime; historical_fx_volatility,medium,Composite source for FX regime classification and historical FX volatility estimates across 14 MENA economies; triangulated from IMF IFS annual averages and individual central bank statistical publications

IMF_WEO_2026,IMF World Economic Outlook April 2026,IMF,2026,2026-05-20,https://www.imf.org/en/Publications/WEO,imf_weo_panel; inflation_volatility_fallback; fiscal_balance_context,high,IMF datamapper API extraction for 2015-2026; 2025-2026 marked estimates.
