country_code,country_code_a3,country_name,country_label,country_type,fiscal_breakeven_usd,breakeven_logic,source_name,source_year,source_url,is_estimate,confidence,notes,source_id_primary,source_id_secondary,breakeven_low_usd,breakeven_base_usd,breakeven_high_usd
SA,SAU,Saudi Arabia,Saudi Arabia,exporter,80,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,medium,Preliminary estimate; range in literature 75–90; official breakeven not disclosed,IMF_AIV_2023,,75.0,80.0,90.0
IQ,IRQ,Iraq,Iraq,exporter,130,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,medium,High breakeven due to large public wage bill and reconstruction spending; range 120–140,IMF_AIV_2023,,120.0,130.0,140.0
KW,KWT,Kuwait,Kuwait,exporter,50,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,high,Among lowest breakevens in GCC; sovereign wealth fund (KIA) buffers fiscal position; range 45–55,IMF_AIV_2023,,45.0,50.0,55.0
LY,LBY,Libya,Libya,exporter,115,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Regional Economic Outlook (MENA),2023.0,https://www.imf.org/en/Publications/REO,True,low,Highly uncertain; political fragmentation and dual-government complicates estimation; range 100–130,IMF_REO_MENA_2023,,100.0,115.0,130.0
DZ,DZA,Algeria,Algeria,exporter,135,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,medium,High breakeven driven by large generalised subsidy system and social spending commitments; range 125–145,IMF_AIV_2023,,125.0,135.0,145.0
AE,ARE,United Arab Emirates,UAE,exporter,65,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,high,Diversified economy (Dubai) reduces oil dependency vs Abu Dhabi; Abu Dhabi breakeven lower than UAE aggregate; range 55–75,IMF_AIV_2023,,55.0,65.0,75.0
QA,QAT,Qatar,Qatar,exporter,55,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,high,LNG revenue dominates; Brent-linked pricing; low cost of production; range 50–65,IMF_AIV_2023,,50.0,55.0,65.0
OM,OMN,Oman,Oman,exporter,90,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,medium,Fiscal consolidation programme underway since 2020; breakeven on declining trend; range 85–100,IMF_AIV_2023,,85.0,90.0,100.0
IR,IRN,Iran,Iran,exporter,130,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Regional Economic Outlook (MENA),2023.0,https://www.imf.org/en/Publications/REO,True,low,Highly uncertain; international sanctions and parallel exchange rates distort official data; range 120–145,IMF_REO_MENA_2023,,120.0,130.0,145.0
BH,BHR,Bahrain,Bahrain,exporter,95,Budget balance break-even: Brent price required to balance national budget given fiscal structure and spending commitments,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,medium,Highest breakeven in GCC; limited domestic production; fiscal support from GCC Development Fund; range 85–110,IMF_AIV_2023,,85.0,95.0,110.0
EG,EGY,"Egypt, Arab Rep.",Egypt,mixed_importer,45,Mixed producer/importer: partial fiscal sensitivity reflects subsidy reform costs and partial oil/gas export revenue; not directly comparable to pure exporters,IMF Article IV Consultation,2023.0,https://www.imf.org/en/Publications/CR,True,low,Egypt is a marginal net oil importer but material LNG exporter; breakeven reflects subsidy pass-through and partial export revenue; interpret with caution; range 35–55,IMF_AIV_2023,,35.0,45.0,55.0
JO,JOR,Jordan,Jordan,net_importer,0,Net importer: fiscal breakeven concept not applicable; government budget sensitivity runs via import cost not oil revenue,,,,True,,Net oil importer; breakeven not applicable; fiscal stress driven by energy import costs passed through to subsidies and trade balance,IMF_AIV_2023,,,,
LB,LBN,Lebanon,Lebanon,net_importer,0,Net importer: fiscal breakeven concept not applicable; government budget sensitivity runs via import cost not oil revenue,,,,True,,Net oil importer; breakeven not applicable; economy in severe crisis with fuel import constraints,IMF_REO_MENA_2023,,,,
MA,MAR,Morocco,Morocco,net_importer,0,Net importer: fiscal breakeven concept not applicable; government budget sensitivity runs via import cost not oil revenue,,,,True,,Net oil importer; breakeven not applicable; fiscal stress driven by energy import costs and subsidy reform trajectory,IMF_AIV_2023,,,,
